,Release Date,Season,Episode,Episode Title,Name,Sentence,label
43,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You understand why I did it?,['anger']
44,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Jon said he was a deserter.,['joy']
45,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,But do you understand why I had to kill him?,['anger']
46,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Our way is the old way?,['anger']
47,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The man who passes the sentence should swing the sword.,['anger']
48,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Is it true he saw the White Walkers?,['fear']
49,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The White Walkers have been gone for thousands of years.,['joy']
50,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,So he was lying?,['fear']
51,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,A madman sees what he sees.,['anger']
52,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,What is it?,['anger']
53,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Mountain lion?,['joy']
54,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,There are no mountain lions in these woods.,['fear']
55,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,It's a freak.,['anger']
56,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's a direwolf.,['anger']
57,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tough old beast.,['joy']
58,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,There are no direwolves south of the Wall.,['anger']
59,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Now there are five.,['anger']
60,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You want to hold it?,['sadness']
61,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Where will they go? Their mother's dead.,['anger']
62,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,They don't belong down here.,['joy']
63,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Better a quick death. They won't last without their mother.,['joy']
64,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Right. Give it here.,['joy']
65,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,NO!,['anger']
66,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Put away your blade.,['anger']
67,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"I take orders from your father, not you.",['sadness']
68,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,"Please, father!",['sadness']
69,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"I'm sorry, Bran.",['fear']
70,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,['anger']
71,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",['sadness']
72,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,What about you?,['anger']
73,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,I'm not a Stark. Get on.,['anger']
74,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,What is it?,['anger']
75,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"The runt of the litter. That one's yours, Snow.",['love']
76,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"As your brother, I feel it's my duty to warn you",['anger']
77,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",['joy']
78,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",['sadness']
79,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,What if Jon Arryn told someone?,['joy']
80,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,But who would he tell?,['anger']
81,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,My husband.,['joy']
82,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",['joy']
83,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,You should be the Hand of the king.,['joy']
84,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"That's an honor I can do without. Their days are too long, their lives are too short.",['fear']
85,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,All these years and I still feel like an outsider when I come here.,['anger']
86,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You have five northern children. You're not an outsider.,['surprise']
87,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I wonder if the old gods agree.,['anger']
88,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's your gods with all the rules.,['fear']
89,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"I am so sorry, my love.",['fear']
90,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tell me.,['anger']
91,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,['sadness']
92,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your sister. The boy …,['fear']
93,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,['joy']
94,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"He's coming this far North, there's only one thing he's after.",['anger']
95,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"You can always say no, Ned.",['joy']
96,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,['joy']
97,2011-04-17,Season 1,Episode 1,Winter is Coming,maester luwin,I'm told he drinks all night.,['anger']
98,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,How much could he possibly drink? A man of his … stature.,['anger']
99,2011-04-17,Season 1,Episode 1,Winter is Coming,luwin,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,['joy']
100,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"In any case, candles.",['anger']
101,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Why's your mother so dead-set on us getting pretty for the king?,['joy']
102,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"It's for the queen, I bet. I hear she's [sleek as a mink?]",['joy']
103,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,I hear the prince is a right royal prick.,['joy']
104,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Think of all those southern girls he gets to stab with his right royal prick.,['joy']
105,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",['anger']
106,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",['joy']
107,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,I saw the king! He's got hundreds of people!,['anger']
108,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,How many times have I told you,['joy']
109,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,But he's coming right now! Down our road!,['anger']
110,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I want you to promise me,['anger']
111,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,I promise.,['anger']
112,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,D'you know what?,['anger']
113,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,What?,['anger']
114,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,You always look at your feet before you lie. Run and find your father. Tell him the king is close.,['sadness']
115,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"Where's Arya? Sansa, where's your sister?",['fear']
116,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]",['joy']
117,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Move!,['anger']
118,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your Grace.,['fear']
119,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,You've got fat.,['anger']
120,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Cat!,['anger']
121,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Your Grace.,['fear']
122,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Nine years. Why haven't I seen you? Where the hell have you been?,['anger']
123,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Guarding the North for you, Your Grace. Winterfell is yours.",['fear']
124,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Where's the Imp?,['anger']
125,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Will you shut up?,['anger']
126,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?",['joy']
127,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Arya.,['anger']
128,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Ooh. Show us your muscles. You'll be a soldier.,['joy']
129,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,That's Jaime Lannister. The queen's twin brother.,['anger']
130,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Would you please shut up.,['anger']
131,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,My queen.,['anger']
132,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,My queen.,['anger']
133,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Take me to your crypt. I want to pay my respects.,['joy']
134,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"We've been riding for a month, my love. Surely the dead can wait.",['sadness']
135,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Ned.,['anger']
136,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,Where is our brother? Go find the little beast.,['anger']
137,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tell me about Jon Arryn.,['anger']
138,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.",['sadness']
139,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,We both did.,['anger']
140,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",['fear']
141,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Aye.,['anger']
142,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"Don't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.",['surprise']
143,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,I'm not worthy of the honor.,['anger']
144,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses.",['fear']
145,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Mmh. It is true what they say about the Northern girls.,['fear']
146,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,Did you hear the king's in Winterfell?,['joy']
147,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,I did hear something about that.,['joy']
148,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,['anger']
149,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,And the other brother?,['anger']
150,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,The queen has two brothers?,['joy']
151,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,There's the pretty one. And there's the clever one.,['joy']
152,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,I hear they call him the Imp.,['joy']
153,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,I hear he hates that nickname.,['joy']
154,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.,['fear']
155,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Clever girl.,['joy']
156,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,"We've been expecting you, Lord Tyrion.",['anger']
157,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Have you?,['anger']
158,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,The gods gave me one blessing.,['joy']
159,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,Don't get up.,['anger']
160,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,M'lord.,['anger']
161,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"Should I explain to you the meaning of a closed door in a whorehouse, brother?",['joy']
162,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"You've much to teach me, no doubt. But our sister craves your attention.",['anger']
163,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"She has odd cravings, our sister.",['fear']
164,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people.",['joy']
165,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"I'm sorry, I've begun the feast a bit early. And this is the first of many courses.",['fear']
166,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"I thought you might say that. But since we're short on time, Come on, girls. See you at sundown.",['sadness']
167,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Close the door!,['joy']
168,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,['love']
169,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,She was my sister. This is where she belongs.,['fear']
170,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,She belonged with me.,['anger']
171,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"In my dreams, I kill him every night.",['anger']
172,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"It's done, Your Grace. The Targaryens are gone.",['fear']
173,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Not all of them.,['anger']
174,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Daenerys!,['anger']
175,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Daenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?,['anger']
176,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,We've been his guests for over a year and he's never asked us for anything.,['anger']
177,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see. You have a woman's body now. I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?",['joy']
178,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,No.,['anger']
179,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"When they write the history of my reign, sweet sister, they will say it began today.",['joy']
180,2011-04-17,Season 1,Episode 1,Winter is Coming,maid,"It's too hot, my lady.",['anger']
181,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Where is he?,['anger']
182,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,The Dothraki are not known for their punctuality.,['joy']
183,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.",['joy']
184,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen.",['sadness']
185,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"Come forward, my dear.",['joy']
186,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Where's he going?,['joy']
187,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,The ceremony is over.,['anger']
188,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,But he didn't say anything. Did he like her?,['joy']
189,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"Trust me, Your Grace. If he didn't like her, we'd know.",['fear']
190,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,It won't be long now. Soon you will cross the Narrow Sea and take back your father's throne. The people drink secret toasts to your health. They cry out for their true king.,['anger']
191,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,When will they be married?,['joy']
192,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,Soon. The Dothraki never stay still for long.,['joy']
193,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Is it true they lie with their horses?,['fear']
194,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,I wouldn't ask Khal Drogo.,['joy']
195,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Do you take me for a fool?,['anger']
196,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,I take you for a king. Kings lack the caution of common men. My apologies if I've given offense.,['sadness']
197,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,I know how to play a man like Drogo. I give him a queen and he gives me an army.,['anger']
198,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,I don't want to be his queen. I want to go home.,['joy']
199,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?",['fear']
200,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,I don't know.,['joy']
201,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"We go home with an army. With Khal Drogo's army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that's what it took.",['sadness']
202,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Do you think Joffrey will like me? What if he thinks I'm ugly?,['anger']
203,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Then he is the stupidest prince that ever lived.,['joy']
204,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,He's so handsome.,['anger']
205,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,When would we be married? Soon or do we have to wait?,['sadness']
206,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Hush now. Your father hasn't even said yes.,['sadness']
207,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Why would he say no? He'd be the second most powerful man in the kingdoms.,['anger']
208,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,He'd have to leave home. He'd have to leave me. And so would you.,['joy']
209,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,You left your home to come here. And I'd be queen someday. Please make father say yes.,['sadness']
210,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Sansa…,['anger']
211,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,"Please, please. It's the only thing I ever wanted.",['anger']
212,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,Is he dead yet?,['anger']
213,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Uncle Benjen!,['joy']
214,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,You got bigger. I rode all day. Didn't want to leave you alone with the Lannisters. Why aren't you at the feast?,['joy']
215,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lady Stark thought it might insult the royal family to seat a bastard in their midst.,['anger']
216,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,"Well, you're always welcome on the wall. No bastard was ever refused a seat there.",['surprise']
217,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,So take me with you when you go back.,['joy']
218,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,Jon…,['anger']
219,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,"Father will let me if you ask him, I know he will.",['sadness']
220,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,The Wall isn't going anywhere.,['anger']
221,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,I'm ready to swear your oath.,['anger']
222,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,You don't understand what you'd be giving up. We have no families. None of us will ever father sons.,['sadness']
223,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,I don't care about that.,['joy']
224,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,"You might, if you knew what it meant. … I'd better get inside. Rescue your father from his guests. We'll talk later.",['sadness']
225,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Your uncle's in the Night's Watch.,['joy']
226,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,What're you doing back there?,['anger']
227,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Preparing for a night with your family. I've always wanted to see the Wall.,['anger']
228,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You're Tyrion Lannister. The queen's brother?,['surprise']
229,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"My greatest accomplishment. You – you're Ned Stark's bastard, aren't you?",['surprise']
230,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"Did I offend you? Sorry. You are the bastard, though.",['fear']
231,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lord Eddard Stark is my father.,['sadness']
232,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you.",['love']
233,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,What the hell do you know about being a bastard?,['anger']
234,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,All dwarves are bastards in their fathers' eyes.,['anger']
235,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,You at a feast -- It's like a bear in a trap.,['love']
